started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-07-01 00:06:40.633000+00:00,2021-07-01 00:31:13.327000+00:00,1472,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-07-01 00:09:05.813000+00:00,2021-07-01 00:18:37.419000+00:00,571,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913,1749,Dean Street,Corner of Dean Park Mews,55.957278012740645,-3.2142853873890544
2021-07-01 00:29:16.151000+00:00,2021-07-01 01:00:58.224000+00:00,1902,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 00:36:00.185000+00:00,2021-07-01 01:04:08.705000+00:00,1688,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-07-01 00:37:13.872000+00:00,2021-07-01 01:01:59.244000+00:00,1485,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 00:37:33.611000+00:00,2021-07-01 01:02:26.828000+00:00,1493,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-07-01 00:38:12.553000+00:00,2021-07-01 01:01:37.956000+00:00,1405,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 00:38:25.133000+00:00,2021-07-01 01:02:23.715000+00:00,1438,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 04:24:33.006000+00:00,2021-07-01 04:37:04.023000+00:00,751,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-07-01 04:52:49.053000+00:00,2021-07-01 05:02:45.667000+00:00,596,1737,Inverleith Row,Corner with Inverleith Terrace,55.964117879889585,-3.2020947474163677,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-07-01 05:09:56.850000+00:00,2021-07-01 05:46:41.416000+00:00,2204,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-07-01 05:34:18.991000+00:00,2021-07-01 05:53:25.238000+00:00,1146,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2021-07-01 05:35:49.017000+00:00,2021-07-01 05:39:27.192000+00:00,218,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258,1737,Inverleith Row,Corner with Inverleith Terrace,55.964117879889585,-3.2020947474163677
2021-07-01 05:41:19.144000+00:00,2021-07-01 05:48:16.910000+00:00,417,1809,Royal Edinburgh Hospital,Next to Kennedy Tower,55.92781815597736,-3.2133077222032247,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-07-01 05:54:07.668000+00:00,2021-07-01 06:02:53.518000+00:00,525,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1731,Pleasance Courtyard,"Edinburgh University, The Pleasance",55.947490592969416,-3.181112126101965
2021-07-01 05:54:46.569000+00:00,2021-07-01 06:00:30.460000+00:00,343,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-07-01 06:32:52.706000+00:00,2021-07-01 06:53:19.262000+00:00,1226,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809
2021-07-01 06:33:04.397000+00:00,2021-07-01 07:29:35.164000+00:00,3390,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-07-01 06:36:01.714000+00:00,2021-07-01 06:41:09.630000+00:00,307,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038
2021-07-01 06:39:47.917000+00:00,2021-07-01 06:54:00.835000+00:00,852,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
